event_id,player_id,controller_id,controller_serial,event_date,primary_issue,issue_confidence,right_stick_drift_score,left_stick_drift_score,disconnect_frequency_score,battery_health_percent,session_hours_l30d,firmware_version,platform_version
TEL-000001,PLAYER001,CTRL-001,ZCT1W-0A1B2C3D,2024-05-02,RIGHT_STICK_DRIFT,HIGH,0.80,0.12,0.08,91,35.6,3.02,1.06
TEL-000002,PLAYER002,CTRL-002,ZCT1W-4E5F6G7H,2024-04-28,RIGHT_STICK_DRIFT,HIGH,0.89,0.11,0.07,65,71.2,3.02,1.06
TEL-000003,PLAYER003,CTRL-003,ZCT1W-8I9J0K1L,2024-05-07,DISCONNECT_FIRMWARE,MEDIUM,0.11,0.14,0.76,93,18.1,2.98,1.06
TEL-000004,PLAYER004,CTRL-004,ZCT2E-2M3N4O5P,2024-04-15,RIGHT_STICK_MODULE,MEDIUM,0.62,0.08,0.12,78,106.0,3.02,1.06
TEL-000005,PLAYER005,CTRL-0005,ZCT1W-D2495511,2024-04-25,RIGHT_STICK_DRIFT,MEDIUM,0.93,0.74,0.05,77,16.4,3.02,1.06
TEL-000006,PLAYER006,CTRL-0006,ZCT1W-U7169603,2024-06-05,NONE,LOW,0.09,0.01,0.06,93,51.0,3.02,1.06
TEL-000007,PLAYER007,CTRL-0007,ZCT2E-U1028160,2024-05-12,NONE,LOW,0.15,0.00,0.09,76,118.4,3.02,1.06
TEL-000008,PLAYER008,CTRL-0008,ZCT2E-P6362719,2024-04-20,DISCONNECT_FIRMWARE,MEDIUM,0.23,0.16,0.53,72,61.9,3.00,1.06
TEL-000009,PLAYER008,CTRL-0009,ZCT1W-D7632241,2024-05-07,DISCONNECT_FIRMWARE,MEDIUM,0.27,0.09,0.51,73,43.7,3.00,1.06
TEL-000010,PLAYER009,CTRL-0010,ZCT1W-K4672603,2024-05-29,NONE,LOW,0.08,0.00,0.02,87,107.7,3.02,1.06
