controller_id,player_id,controller_serial,controller_model,product_code,purchase_date,registration_date,warranty_status,warranty_expiry_date,warranty_months,asset_status
CTRL-001,PLAYER001,ZCT1W-0A1B2C3D,DualSense Wireless Controller,DS-STANDARD,2023-09-10,2023-09-10,IN_WARRANTY,2024-09-10,12,Purchased
CTRL-002,PLAYER002,ZCT1W-4E5F6G7H,DualSense Wireless Controller,DS-STANDARD,2021-11-20,2022-01-18,OUT_OF_WARRANTY,2022-11-20,12,Purchased
CTRL-003,PLAYER003,ZCT1W-8I9J0K1L,DualSense Wireless Controller,DS-STANDARD,2023-11-01,2023-11-05,IN_WARRANTY,2024-11-01,12,Purchased
CTRL-004,PLAYER004,ZCT2E-2M3N4O5P,DualSense Edge Wireless Controller,DS-EDGE,2022-10-28,2022-11-02,OUT_OF_WARRANTY,2023-10-28,12,Purchased
CTRL-0005,PLAYER005,ZCT1W-D2495511,DualSense Wireless Controller,DS-STANDARD,2022-01-21,2022-02-13,OUT_OF_WARRANTY,2023-01-21,12,Purchased
CTRL-0006,PLAYER006,ZCT1W-U7169603,DualSense Wireless Controller,DS-STANDARD,2022-10-04,2022-11-03,OUT_OF_WARRANTY,2023-10-04,12,Purchased
CTRL-0007,PLAYER007,ZCT2E-U1028160,DualSense Wireless Controller,DS-STANDARD,2024-01-02,2024-01-08,IN_WARRANTY,2025-01-01,12,Purchased
CTRL-0008,PLAYER008,ZCT2E-P6362719,DualSense Wireless Controller,DS-STANDARD,2021-09-16,2021-10-02,OUT_OF_WARRANTY,2022-09-16,12,Purchased
CTRL-0009,PLAYER008,ZCT1W-D7632241,DualSense Limited Edition Controller,DS-LIMITED,2023-08-02,2023-08-12,IN_WARRANTY,2024-08-01,12,Purchased
CTRL-0010,PLAYER009,ZCT1W-K4672603,DualSense Wireless Controller,DS-STANDARD,2023-07-23,2023-07-27,IN_WARRANTY,2024-07-22,12,Purchased
CTRL-0011,PLAYER010,ZCT2E-E1576194,DualSense Wireless Controller,DS-STANDARD,2022-09-25,2022-10-11,OUT_OF_WARRANTY,2023-09-25,12,Purchased
CTRL-0012,PLAYER011,ZCT1W-J9024252,DualSense Wireless Controller,DS-STANDARD,2022-03-18,2022-04-02,OUT_OF_WARRANTY,2023-03-18,12,Purchased
CTRL-0013,PLAYER012,ZCT2E-N1986711,DualSense Wireless Controller,DS-STANDARD,2022-11-14,2022-11-18,OUT_OF_WARRANTY,2023-11-14,12,Purchased
CTRL-0014,PLAYER013,ZCT1W-H1881916,DualSense Wireless Controller,DS-STANDARD,2022-01-02,2022-01-29,OUT_OF_WARRANTY,2023-01-02,12,Purchased
CTRL-0015,PLAYER014,ZCT2E-N6018095,DualSense Wireless Controller,DS-STANDARD,2021-11-23,2021-11-23,OUT_OF_WARRANTY,2022-11-23,12,Purchased
CTRL-0016,PLAYER015,ZCT2E-L8087324,DualSense Wireless Controller,DS-STANDARD,2022-12-15,2023-01-08,OUT_OF_WARRANTY,2023-12-15,12,Purchased
CTRL-0017,PLAYER016,ZCT2E-N2204993,DualSense Wireless Controller,DS-STANDARD,2022-08-03,2022-08-12,OUT_OF_WARRANTY,2023-08-03,12,Purchased
CTRL-0018,PLAYER017,ZCT1W-T7606405,DualSense Edge Wireless Controller,DS-EDGE,2021-07-19,2021-07-23,OUT_OF_WARRANTY,2022-07-19,12,Purchased
CTRL-0019,PLAYER018,ZCT2E-U1908038,DualSense Wireless Controller,DS-STANDARD,2022-09-15,2022-09-29,OUT_OF_WARRANTY,2023-09-15,12,Purchased
CTRL-0020,PLAYER019,ZCT1W-U3307889,DualSense Wireless Controller,DS-STANDARD,2023-09-16,2023-09-25,IN_WARRANTY,2024-09-15,12,Purchased
CTRL-0021,PLAYER020,ZCT1W-G4659722,DualSense Wireless Controller,DS-STANDARD,2022-02-05,2022-02-28,OUT_OF_WARRANTY,2023-02-05,12,Purchased
CTRL-0022,PLAYER021,ZCT1W-M2710400,DualSense Wireless Controller,DS-STANDARD,2021-10-30,2021-11-11,OUT_OF_WARRANTY,2022-10-30,12,Purchased
