session_id,player_id,controller_id,controller_serial,session_start_at,session_end_at,session_minutes,game_title,input_anomaly_count,disconnect_count,battery_start_percent,battery_end_percent
SESS-0000001,PLAYER248,CTRL-0279,ZCT1W-K2258998,2024-06-07T20:37:00Z,2024-06-07T22:13:00Z,96,God of War Ragnarök,4,1,80,60
SESS-0000002,PLAYER397,CTRL-0449,ZCT2E-Q3964907,2024-05-17T14:50:00Z,2024-05-17T16:35:00Z,105,Gran Turismo 7,0,0,61,33
SESS-0000003,PLAYER882,CTRL-1008,ZCT2E-X7842181,2024-05-07T13:46:00Z,2024-05-07T14:31:00Z,45,Call of Duty,5,1,81,46
SESS-0000004,PLAYER575,CTRL-0651,ZCT1W-J7109621,2024-06-06T19:52:00Z,2024-06-06T21:41:00Z,109,Gran Turismo 7,2,1,91,74
SESS-0000005,PLAYER397,CTRL-0449,ZCT2E-Q3964907,2024-06-01T01:52:00Z,2024-06-01T02:33:00Z,41,Street Fighter 6,2,1,82,73
SESS-0000006,PLAYER603,CTRL-0682,ZCT2E-A7779356,2024-04-24T12:25:00Z,2024-04-24T14:35:00Z,130,Fortnite,1,1,98,92
SESS-0000007,PLAYER365,CTRL-0412,ZCT2E-A8380453,2024-05-03T06:15:00Z,2024-05-03T07:18:00Z,63,Helldivers 2,2,1,82,63
SESS-0000008,PLAYER709,CTRL-0807,ZCT2E-A9234422,2024-05-13T18:28:00Z,2024-05-13T19:16:00Z,48,Gran Turismo 7,9,0,74,69
SESS-0000009,PLAYER011,CTRL-0012,ZCT1W-J9024252,2024-04-17T23:48:00Z,2024-04-18T02:49:00Z,181,EA FC 24,2,1,88,68
SESS-0000010,PLAYER169,CTRL-0189,ZCT1W-K3709058,2024-05-26T20:08:00Z,2024-05-26T22:58:00Z,170,Helldivers 2,2,0,69,56
SESS-0000011,PLAYER959,CTRL-1102,ZCT2E-Q3500297,2024-06-01T21:48:00Z,2024-06-01T23:08:00Z,80,God of War Ragnarök,3,1,96,70
SESS-0000012,PLAYER043,CTRL-0048,ZCT2E-W4231751,2024-05-09T13:14:00Z,2024-05-09T16:55:00Z,221,Spider-Man 2,2,1,72,51
SESS-0000013,PLAYER286,CTRL-0322,ZCT1W-K9167564,2024-05-29T09:25:00Z,2024-05-29T13:02:00Z,217,EA FC 24,2,0,97,84
SESS-0000014,PLAYER961,CTRL-1105,ZCT2E-P3817334,2024-04-11T18:08:00Z,2024-04-11T18:41:00Z,33,God of War Ragnarök,7,1,66,39
SESS-0000015,PLAYER728,CTRL-0829,ZCT1W-L5130922,2024-04-11T08:30:00Z,2024-04-11T09:53:00Z,83,The Last of Us Part I,2,1,71,56
SESS-0000016,PLAYER651,CTRL-0735,ZCT1W-R9267840,2024-06-09T15:33:00Z,2024-06-09T18:42:00Z,189,God of War Ragnarök,12,0,64,53
SESS-0000017,PLAYER702,CTRL-0799,ZCT2E-M5421758,2024-05-03T03:48:00Z,2024-05-03T05:34:00Z,106,The Last of Us Part I,3,0,97,62
SESS-0000018,PLAYER465,CTRL-0526,ZCT1W-H7597584,2024-05-22T02:19:00Z,2024-05-22T02:56:00Z,37,Gran Turismo 7,17,1,93,64
SESS-0000019,PLAYER653,CTRL-0737,ZCT1W-D7775286,2024-04-27T14:28:00Z,2024-04-27T15:22:00Z,54,God of War Ragnarök,7,1,83,49
SESS-0000020,PLAYER807,CTRL-0921,ZCT1W-L4820432,2024-06-01T22:20:00Z,2024-06-02T01:24:00Z,184,Call of Duty,8,1,85,75
SESS-0000021,PLAYER548,CTRL-0620,ZCT1W-N3071885,2024-05-24T04:43:00Z,2024-05-24T07:58:00Z,195,Astro Bot,2,1,100,73
SESS-0000022,PLAYER413,CTRL-0466,ZCT1W-J8887227,2024-04-16T00:18:00Z,2024-04-16T02:44:00Z,146,Spider-Man 2,10,1,61,47
SESS-0000023,PLAYER942,CTRL-1080,ZCT1W-L5650204,2024-06-08T19:17:00Z,2024-06-08T21:45:00Z,148,Astro Bot,3,1,75,45
