engagement_id,player_id,week_start_date,total_play_hours,total_sessions,favorite_genre,multiplayer_hours,store_visits,ps_plus_tier,engagement_band
ENG-000001,PLAYER001,2024-04-08,11.44,14,Action-RPG,5.78,10,Premium,MEDIUM
ENG-000002,PLAYER001,2024-04-15,8.71,5,Racing,2.89,1,Premium,LOW
ENG-000003,PLAYER001,2024-04-22,12.07,13,Puzzle,9.61,7,Premium,MEDIUM
ENG-000004,PLAYER001,2024-04-29,19.58,19,Action-RPG,12.31,4,Premium,HIGH
ENG-000005,PLAYER001,2024-05-06,20.40,14,Racing,15.52,12,Premium,HIGH
ENG-000006,PLAYER001,2024-05-13,14.13,16,FPS,6.78,3,Premium,MEDIUM
ENG-000007,PLAYER001,2024-05-20,18.20,21,Action-RPG,6.88,4,Premium,HIGH
ENG-000008,PLAYER001,2024-05-27,10.67,7,Action-RPG,7.11,5,Premium,MEDIUM
ENG-000009,PLAYER001,2024-06-03,23.89,26,Racing,18.25,1,Premium,HIGH
ENG-000010,PLAYER001,2024-06-10,13.32,11,Puzzle,2.90,5,Premium,MEDIUM
ENG-000011,PLAYER002,2024-04-08,14.31,11,Sports,4.37,5,Premium,MEDIUM
ENG-000012,PLAYER002,2024-04-15,13.42,10,FPS,6.50,9,Premium,MEDIUM
ENG-000013,PLAYER002,2024-04-22,14.49,16,Fighting,4.66,10,Premium,MEDIUM
ENG-000014,PLAYER002,2024-04-29,27.44,19,Action-RPG,9.57,0,Premium,HIGH
ENG-000015,PLAYER002,2024-05-06,27.03,23,Action-RPG,13.97,1,Premium,HIGH
ENG-000016,PLAYER002,2024-05-13,24.46,25,Puzzle,15.64,0,Premium,HIGH
ENG-000017,PLAYER002,2024-05-20,19.00,15,Action-RPG,10.97,0,Premium,HIGH
ENG-000018,PLAYER002,2024-05-27,17.94,16,Action-Adventure,13.04,0,Premium,MEDIUM
ENG-000019,PLAYER002,2024-06-03,27.42,26,FPS,18.14,1,Premium,HIGH
ENG-000020,PLAYER002,2024-06-10,22.10,22,Fighting,7.06,6,Premium,HIGH
