affinity_id,player_id,product_code,product_category,affinity_score,affinity_reason,last_interaction_date
AFF-000001,PLAYER570,DS-LIMITED,Controller,0.71,WISHLIST_ACTIVITY,2024-04-13
AFF-000002,PLAYER818,DS-EDGE-MODULE,Controller,0.62,PAST_PURCHASES,2024-05-11
AFF-000003,PLAYER065,DS-LIMITED,Controller,0.38,WISHLIST_ACTIVITY,2024-05-27
AFF-000004,PLAYER058,DS-EDGE,Controller,0.45,WISHLIST_ACTIVITY,2024-05-23
AFF-000005,PLAYER805,DS-EDGE-MODULE,Controller,0.65,SESSION_PATTERN,2024-06-01
AFF-000006,PLAYER883,DS-LIMITED,Controller,0.11,RECENT_STORE_VIEWS,2024-05-28
AFF-000007,PLAYER738,DS-EDGE,Controller,0.75,RECENT_STORE_VIEWS,2024-05-25
AFF-000008,PLAYER693,DS-STANDARD,Controller-Standard,0.25,WISHLIST_ACTIVITY,2024-05-24
AFF-000009,PLAYER145,DS-EDGE,Controller,0.75,PAST_PURCHASES,2024-05-11
AFF-000010,PLAYER213,DS-LIMITED,Controller,0.12,WISHLIST_ACTIVITY,2024-04-26
AFF-000011,PLAYER865,DS-LIMITED,Controller,0.57,SESSION_PATTERN,2024-04-18
AFF-000012,PLAYER535,DS-LIMITED,Controller,0.30,WISHLIST_ACTIVITY,2024-05-06
AFF-000013,PLAYER535,DS-EDGE,Controller,0.61,SESSION_PATTERN,2024-05-11
AFF-000014,PLAYER123,DS-LIMITED,Controller,0.40,RECENT_STORE_VIEWS,2024-04-15
AFF-000015,PLAYER111,DS-LIMITED,Controller-Premium,0.89,SESSION_PATTERN,2024-05-06
AFF-000016,PLAYER846,DS-EDGE,Controller,0.25,PAST_PURCHASES,2024-05-06
AFF-000017,PLAYER930,DS-EDGE-MODULE,Controller,0.24,SESSION_PATTERN,2024-06-03
AFF-000018,PLAYER287,DS-STANDARD,Controller-Standard,0.34,SESSION_PATTERN,2024-05-06
AFF-000019,PLAYER278,DS-STANDARD,Controller-Standard,0.75,WISHLIST_ACTIVITY,2024-04-15
AFF-000020,PLAYER525,DS-LIMITED,Controller,0.70,WISHLIST_ACTIVITY,2024-04-17
AFF-000021,PLAYER087,DS-EDGE-MODULE,Controller,0.18,WISHLIST_ACTIVITY,2024-05-11
AFF-000022,PLAYER016,DS-EDGE-MODULE,Controller,0.50,RECENT_STORE_VIEWS,2024-05-18
AFF-000023,PLAYER577,DS-EDGE-MODULE,Controller,0.44,WISHLIST_ACTIVITY,2024-05-13
AFF-000024,PLAYER786,DS-EDGE-MODULE,Controller-Module,0.87,PAST_PURCHASES,2024-05-12
AFF-000025,PLAYER415,DS-EDGE-MODULE,Controller,0.16,PAST_PURCHASES,2024-05-02
AFF-000026,PLAYER375,DS-EDGE,Controller,0.72,PAST_PURCHASES,2024-04-25
AFF-000027,PLAYER208,DS-EDGE-MODULE,Controller,0.87,SESSION_PATTERN,2024-04-30
AFF-000028,PLAYER708,DS-EDGE,Controller,0.66,WISHLIST_ACTIVITY,2024-04-29
AFF-000029,PLAYER705,DS-EDGE,Controller,0.80,WISHLIST_ACTIVITY,2024-04-22
AFF-000030,PLAYER690,DS-EDGE-MODULE,Controller,0.42,PAST_PURCHASES,2024-05-09
AFF-000031,PLAYER033,DS-STANDARD,Controller-Standard,0.70,RECENT_STORE_VIEWS,2024-06-02
AFF-000032,PLAYER430,DS-EDGE-MODULE,Controller,0.41,RECENT_STORE_VIEWS,2024-06-06
AFF-000033,PLAYER370,DS-EDGE,Controller,0.96,SESSION_PATTERN,2024-05-03
AFF-000034,PLAYER346,DS-EDGE-MODULE,Controller,0.75,SESSION_PATTERN,2024-04-21
AFF-000035,PLAYER634,DS-STANDARD,Controller-Standard,0.39,RECENT_STORE_VIEWS,2024-05-13
AFF-000036,PLAYER579,DS-LIMITED,Controller,0.82,WISHLIST_ACTIVITY,2024-04-26
AFF-000037,PLAYER340,DS-STANDARD,Controller-Standard,0.85,RECENT_STORE_VIEWS,2024-04-10
AFF-000038,PLAYER604,DS-STANDARD,Controller-Standard,0.98,SESSION_PATTERN,2024-05-05
AFF-000039,PLAYER431,DS-EDGE-MODULE,Controller,0.60,PAST_PURCHASES,2024-06-05
AFF-000040,PLAYER343,DS-EDGE,Controller,0.31,RECENT_STORE_VIEWS,2024-06-02
AFF-000041,PLAYER750,DS-EDGE-MODULE,Controller,0.91,WISHLIST_ACTIVITY,2024-05-10
AFF-000042,PLAYER100,DS-STANDARD,Controller-Standard,0.32,PAST_PURCHASES,2024-06-05
AFF-000043,PLAYER934,DS-EDGE,Controller-Premium,0.86,WISHLIST_ACTIVITY,2024-05-06
AFF-000044,PLAYER371,DS-EDGE-MODULE,Controller,0.98,RECENT_STORE_VIEWS,2024-05-03
AFF-000045,PLAYER104,DS-EDGE-MODULE,Controller,0.56,PAST_PURCHASES,2024-04-10
AFF-000046,PLAYER194,DS-LIMITED,Controller,0.77,SESSION_PATTERN,2024-05-20
AFF-000047,PLAYER646,DS-LIMITED,Controller-Premium,0.72,SESSION_PATTERN,2024-06-08
AFF-000048,PLAYER635,DS-LIMITED,Controller,0.29,RECENT_STORE_VIEWS,2024-05-28
AFF-000049,PLAYER489,DS-STANDARD,Controller-Standard,0.13,SESSION_PATTERN,2024-05-14
AFF-000050,PLAYER461,DS-EDGE,Controller,0.12,SESSION_PATTERN,2024-06-01
AFF-000051,PLAYER809,DS-LIMITED,Controller,0.26,WISHLIST_ACTIVITY,2024-04-28
AFF-000052,PLAYER759,DS-STANDARD,Controller-Standard,0.73,SESSION_PATTERN,2024-04-18
AFF-000053,PLAYER527,DS-EDGE-MODULE,Controller,0.75,RECENT_STORE_VIEWS,2024-05-09
AFF-000054,PLAYER750,DS-EDGE-MODULE,Controller,0.89,WISHLIST_ACTIVITY,2024-05-06
AFF-000055,PLAYER022,DS-EDGE,Controller,0.44,PAST_PURCHASES,2024-05-27
AFF-000056,PLAYER198,DS-LIMITED,Controller,0.25,RECENT_STORE_VIEWS,2024-05-21
AFF-000057,PLAYER372,DS-STANDARD,Controller-Standard,0.66,SESSION_PATTERN,2024-04-18
AFF-000058,PLAYER587,DS-EDGE-MODULE,Controller,0.71,PAST_PURCHASES,2024-05-09
