External_Controller_ID__c,Name,SerialNumber,ProductCode,Player_ID__c,PurchaseDate,InstallDate,Warranty_Months__c,Warranty_Expiry_Date__c,Warranty_Status__c,Status
CTRL-001,DualSense Wireless Controller,ZCT1W-0A1B2C3D,DS-STANDARD,PLAYER001,2023-09-10,2023-09-10,12,2024-09-10,IN_WARRANTY,Purchased
CTRL-002,DualSense Wireless Controller,ZCT1W-4E5F6G7H,DS-STANDARD,PLAYER002,2021-11-20,2022-01-18,12,2022-11-20,OUT_OF_WARRANTY,Purchased
CTRL-003,DualSense Wireless Controller,ZCT1W-8I9J0K1L,DS-STANDARD,PLAYER003,2023-11-01,2023-11-05,12,2024-11-01,IN_WARRANTY,Purchased
CTRL-004,DualSense Edge Wireless Controller,ZCT2E-2M3N4O5P,DS-EDGE,PLAYER004,2022-10-28,2022-11-02,12,2023-10-28,OUT_OF_WARRANTY,Purchased
CTRL-0005,DualSense Wireless Controller,ZCT1W-D2495511,DS-STANDARD,PLAYER005,2022-01-21,2022-02-13,12,2023-01-21,OUT_OF_WARRANTY,Purchased
CTRL-0006,DualSense Wireless Controller,ZCT1W-U7169603,DS-STANDARD,PLAYER006,2022-10-04,2022-11-03,12,2023-10-04,OUT_OF_WARRANTY,Purchased
CTRL-0007,DualSense Wireless Controller,ZCT2E-U1028160,DS-STANDARD,PLAYER007,2024-01-02,2024-01-08,12,2025-01-01,IN_WARRANTY,Purchased
CTRL-0008,DualSense Wireless Controller,ZCT2E-P6362719,DS-STANDARD,PLAYER008,2021-09-16,2021-10-02,12,2022-09-16,OUT_OF_WARRANTY,Purchased
CTRL-0009,DualSense Limited Edition Controller,ZCT1W-D7632241,DS-LIMITED,PLAYER008,2023-08-02,2023-08-12,12,2024-08-01,IN_WARRANTY,Purchased
CTRL-0010,DualSense Wireless Controller,ZCT1W-K4672603,DS-STANDARD,PLAYER009,2023-07-23,2023-07-27,12,2024-07-22,IN_WARRANTY,Purchased
CTRL-0011,DualSense Wireless Controller,ZCT2E-E1576194,DS-STANDARD,PLAYER010,2022-09-25,2022-10-11,12,2023-09-25,OUT_OF_WARRANTY,Purchased
CTRL-0012,DualSense Wireless Controller,ZCT1W-J9024252,DS-STANDARD,PLAYER011,2022-03-18,2022-04-02,12,2023-03-18,OUT_OF_WARRANTY,Purchased
CTRL-0013,DualSense Wireless Controller,ZCT2E-N1986711,DS-STANDARD,PLAYER012,2022-11-14,2022-11-18,12,2023-11-14,OUT_OF_WARRANTY,Purchased
CTRL-0014,DualSense Wireless Controller,ZCT1W-H1881916,DS-STANDARD,PLAYER013,2022-01-02,2022-01-29,12,2023-01-02,OUT_OF_WARRANTY,Purchased
CTRL-0015,DualSense Wireless Controller,ZCT2E-N6018095,DS-STANDARD,PLAYER014,2021-11-23,2021-11-23,12,2022-11-23,OUT_OF_WARRANTY,Purchased
CTRL-0016,DualSense Wireless Controller,ZCT2E-L8087324,DS-STANDARD,PLAYER015,2022-12-15,2023-01-08,12,2023-12-15,OUT_OF_WARRANTY,Purchased
CTRL-0017,DualSense Wireless Controller,ZCT2E-N2204993,DS-STANDARD,PLAYER016,2022-08-03,2022-08-12,12,2023-08-03,OUT_OF_WARRANTY,Purchased
CTRL-0018,DualSense Edge Wireless Controller,ZCT1W-T7606405,DS-EDGE,PLAYER017,2021-07-19,2021-07-23,12,2022-07-19,OUT_OF_WARRANTY,Purchased
CTRL-0019,DualSense Wireless Controller,ZCT2E-U1908038,DS-STANDARD,PLAYER018,2022-09-15,2022-09-29,12,2023-09-15,OUT_OF_WARRANTY,Purchased
CTRL-0020,DualSense Wireless Controller,ZCT1W-U3307889,DS-STANDARD,PLAYER019,2023-09-16,2023-09-25,12,2024-09-15,IN_WARRANTY,Purchased
CTRL-0021,DualSense Wireless Controller,ZCT1W-G4659722,DS-STANDARD,PLAYER020,2022-02-05,2022-02-28,12,2023-02-05,OUT_OF_WARRANTY,Purchased
CTRL-0022,DualSense Wireless Controller,ZCT1W-M2710400,DS-STANDARD,PLAYER021,2021-10-30,2021-11-11,12,2022-10-30,OUT_OF_WARRANTY,Purchased
CTRL-0023,DualSense Wireless Controller,ZCT2E-X3822312,DS-STANDARD,PLAYER022,2021-07-16,2021-07-27,12,2022-07-16,OUT_OF_WARRANTY,Purchased
CTRL-0024,DualSense Wireless Controller,ZCT2E-F1880336,DS-STANDARD,PLAYER022,2023-11-22,2023-12-12,12,2024-11-21,IN_WARRANTY,Purchased
CTRL-0025,DualSense Wireless Controller,ZCT2E-U8278315,DS-STANDARD,PLAYER023,2023-04-08,2023-04-15,12,2024-04-07,OUT_OF_WARRANTY,Purchased
CTRL-0026,DualSense Wireless Controller,ZCT1W-D5040883,DS-STANDARD,PLAYER024,2022-09-12,2022-10-04,12,2023-09-12,OUT_OF_WARRANTY,Purchased
CTRL-0027,DualSense Wireless Controller,ZCT1W-W7297691,DS-STANDARD,PLAYER025,2021-07-03,2021-07-27,12,2022-07-03,OUT_OF_WARRANTY,Purchased
CTRL-0028,DualSense Wireless Controller,ZCT2E-W7410589,DS-STANDARD,PLAYER026,2023-07-01,2023-07-12,12,2024-06-30,IN_WARRANTY,Purchased
CTRL-0029,DualSense Wireless Controller,ZCT1W-D2956687,DS-STANDARD,PLAYER027,2023-09-29,2023-10-19,12,2024-09-28,IN_WARRANTY,Purchased
CTRL-0030,DualSense Wireless Controller,ZCT1W-A9044647,DS-STANDARD,PLAYER028,2021-07-13,2021-08-07,12,2022-07-13,OUT_OF_WARRANTY,Purchased
CTRL-0031,DualSense Wireless Controller,ZCT1W-N9123384,DS-STANDARD,PLAYER029,2023-06-08,2023-06-17,12,2024-06-07,OUT_OF_WARRANTY,Purchased
CTRL-0032,DualSense Limited Edition Controller,ZCT1W-D6456436,DS-LIMITED,PLAYER030,2024-01-06,2024-01-11,12,2025-01-05,IN_WARRANTY,Purchased
CTRL-0033,DualSense Wireless Controller,ZCT2E-A7606809,DS-STANDARD,PLAYER031,2024-01-04,2024-01-29,12,2025-01-03,IN_WARRANTY,Purchased
CTRL-0034,DualSense Wireless Controller,ZCT2E-C9705716,DS-STANDARD,PLAYER031,2021-09-12,2021-10-06,12,2022-09-12,OUT_OF_WARRANTY,Purchased
CTRL-0035,DualSense Wireless Controller,ZCT1W-X2968404,DS-STANDARD,PLAYER032,2022-01-04,2022-01-04,12,2023-01-04,OUT_OF_WARRANTY,Purchased
CTRL-0036,DualSense Limited Edition Controller,ZCT2E-L3064357,DS-LIMITED,PLAYER033,2022-02-27,2022-03-19,12,2023-02-27,OUT_OF_WARRANTY,Purchased
CTRL-0037,DualSense Wireless Controller,ZCT1W-C5307726,DS-STANDARD,PLAYER034,2021-03-13,2021-03-15,12,2022-03-13,OUT_OF_WARRANTY,Purchased
CTRL-0038,DualSense Wireless Controller,ZCT1W-S6009306,DS-STANDARD,PLAYER034,2021-12-18,2021-12-31,12,2022-12-18,OUT_OF_WARRANTY,Purchased
CTRL-0039,DualSense Limited Edition Controller,ZCT1W-H6043230,DS-LIMITED,PLAYER035,2023-11-30,2023-12-28,12,2024-11-29,IN_WARRANTY,Purchased
CTRL-0040,DualSense Wireless Controller,ZCT2E-X9960751,DS-STANDARD,PLAYER036,2023-10-02,2023-10-24,12,2024-10-01,IN_WARRANTY,Purchased
CTRL-0041,DualSense Wireless Controller,ZCT2E-S6907545,DS-STANDARD,PLAYER037,2023-11-12,2023-11-18,12,2024-11-11,IN_WARRANTY,Purchased
CTRL-0042,DualSense Wireless Controller,ZCT1W-X1750538,DS-STANDARD,PLAYER037,2022-01-21,2022-01-25,12,2023-01-21,OUT_OF_WARRANTY,Purchased
CTRL-0043,DualSense Wireless Controller,ZCT2E-G3251636,DS-STANDARD,PLAYER038,2022-03-19,2022-04-06,12,2023-03-19,OUT_OF_WARRANTY,Purchased
CTRL-0044,DualSense Wireless Controller,ZCT2E-J3155739,DS-STANDARD,PLAYER039,2023-05-15,2023-05-17,12,2024-05-14,OUT_OF_WARRANTY,Purchased
CTRL-0045,DualSense Wireless Controller,ZCT2E-J7405244,DS-STANDARD,PLAYER040,2021-12-01,2021-12-13,12,2022-12-01,OUT_OF_WARRANTY,Purchased
CTRL-0046,DualSense Edge Wireless Controller,ZCT2E-C5264422,DS-EDGE,PLAYER041,2023-05-22,2023-06-21,12,2024-05-21,OUT_OF_WARRANTY,Purchased
