External_Entitlement_ID__c,Player_ID__c,Entitlement_Type__c,Eligible_Product_ProductCode,Promotional_Price__c,Entitlement_Source__c,Valid_From__c,Valid_To__c,Is_Active__c
ENT-001,PLAYER001,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-002A,PLAYER002,DISCOUNTED_UPGRADE,DS-EDGE,129.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-002B,PLAYER002,DISCOUNTED_UPGRADE,DS-STANDARD,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-002C,PLAYER002,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-003,PLAYER003,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-004,PLAYER004,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000005,PLAYER415,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000006,PLAYER667,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000007,PLAYER143,DISCOUNTED_UPGRADE,DS-EDGE,129.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000008,PLAYER978,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000009,PLAYER548,DISCOUNTED_UPGRADE,DS-EDGE,79.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000010,PLAYER639,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000011,PLAYER914,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000012,PLAYER818,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000013,PLAYER862,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000014,PLAYER134,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000015,PLAYER087,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000016,PLAYER642,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000017,PLAYER671,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000018,PLAYER241,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000019,PLAYER201,DISCOUNTED_UPGRADE,DS-STANDARD,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000020,PLAYER390,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000021,PLAYER987,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000022,PLAYER643,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000023,PLAYER507,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000024,PLAYER589,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000025,PLAYER328,DISCOUNTED_UPGRADE,DS-EDGE,49.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000026,PLAYER545,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000027,PLAYER191,FIRMWARE_ONLY,,,LOYALTY,2024-01-01,2025-12-31,true
ENT-000028,PLAYER378,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000029,PLAYER680,DISCOUNTED_UPGRADE,DS-EDGE,129.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000030,PLAYER746,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000031,PLAYER340,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000032,PLAYER040,DISCOUNTED_UPGRADE,DS-LIMITED,49.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000033,PLAYER287,DISCOUNTED_UPGRADE,DS-STANDARD,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000034,PLAYER275,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000035,PLAYER608,ACCESSORY_DISCOUNT,DS-STANDARD,39.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000036,PLAYER847,FREE_REPLACEMENT,DS-STANDARD,0.00,WARRANTY,2024-01-01,2025-12-31,true
ENT-000037,PLAYER191,FIRMWARE_ONLY,,,PROMOTION,2024-01-01,2025-12-31,true
ENT-000038,PLAYER975,DISCOUNTED_UPGRADE,DS-LIMITED,109.99,WARRANTY,2024-01-01,2025-12-31,true
ENT-000039,PLAYER851,FREE_REPLACEMENT,DS-STANDARD,0.00,LOYALTY,2024-01-01,2025-12-31,true
ENT-000040,PLAYER560,FREE_REPLACEMENT,DS-STANDARD,0.00,PROMOTION,2024-01-01,2025-12-31,true
ENT-000041,PLAYER957,FIRMWARE_ONLY,,,WARRANTY,2024-01-01,2025-12-31,true
ENT-000042,PLAYER169,ACCESSORY_DISCOUNT,DS-STANDARD,59.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000043,PLAYER546,DISCOUNTED_UPGRADE,DS-LIMITED,129.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000044,PLAYER936,DISCOUNTED_UPGRADE,DS-EDGE,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000045,PLAYER176,DISCOUNTED_UPGRADE,DS-LIMITED,79.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000046,PLAYER228,ACCESSORY_DISCOUNT,DS-LIMITED,39.99,LOYALTY,2024-01-01,2025-12-31,true
ENT-000047,PLAYER882,MODULE_REPLACEMENT,DS-EDGE-MODULE,59.99,PROMOTION,2024-01-01,2025-12-31,true
ENT-000048,PLAYER109,ACCESSORY_DISCOUNT,DS-LIMITED,59.99,LOYALTY,2024-01-01,2025-12-31,true
